#centrality dS/dy Npart_min Npart_max b_min(fm) b_max(fm)
0.0 1000000.0 500.0 500.0 0.0 0.0
0.001 23.958065 14.0 25.0 0.43800341 3.6089032
0.002 23.212475 12.0 24.0 0.53508973 4.7034931
0.003 22.299571 17.0 24.0 1.4310065 3.429963
0.004 21.895618 16.0 26.0 0.74054825 4.6283802
0.005 21.565363 12.0 21.0 0.94253668 3.1095474
0.006 21.371481 16.0 24.0 0.95940953 4.5772783
0.007 21.145021 12.0 23.0 1.3485344 4.2546227
0.008 20.872867 14.0 26.0 1.8371542 4.5733697
0.009 20.74133 15.0 23.0 0.48717997 3.6737107
0.01 20.564263 15.0 27.0 0.81221096 5.225049
0.02 19.465042 11.0 29.0 0.40414661 5.2103959
0.03 18.946373 12.0 27.0 0.15601267 4.9935229
0.04 18.566352 12.0 25.0 0.26253646 5.4252438
0.05 18.254187 12.0 25.0 0.28101414 5.3361457
0.06 17.964364 11.0 25.0 0.092466061 5.5901092
0.07 17.769032 9.0 28.0 0.20935374 5.6739569
0.08 17.56005 11.0 25.0 0.18299427 6.125665
0.09 17.413922 10.0 25.0 0.12116206 5.5758537
0.1 17.268354 12.0 25.0 0.64859913 5.3331474
0.2 16.209044 9.0 27.0 0.073167023 6.2368455
0.3 15.569813 7.0 27.0 0.08307673 7.1554218
0.4 15.091323 7.0 25.0 0.13094188 6.0498803
0.5 14.720396 9.0 28.0 0.14211216 6.1558139
0.6 14.434565 8.0 27.0 0.014208574 6.2656613
0.7 14.168686 7.0 27.0 0.14758619 6.4393063
0.8 13.950723 8.0 28.0 0.18065524 6.0809848
0.9 13.743362 8.0 26.0 0.1239758 6.4094286
1.0 13.560605 5.0 26.0 0.12479602 6.2875883
2.0 12.266333 3.0 27.0 0.018175373 8.1037293
3.0 11.469701 3.0 27.0 0.054508885 7.3851989
4.0 10.868585 5.0 26.0 0.0099512067 7.484802
5.0 10.391109 3.0 27.0 0.048913883 7.6238834
6.0 9.9956714 3.0 27.0 0.041885436 7.8781249
7.0 9.6512435 4.0 24.0 0.025404628 7.5458079
8.0 9.337542 3.0 24.0 0.042891131 7.984317
9.0 9.0595593 2.0 25.0 0.028750831 8.3891047
10.0 8.8060641 2.0 25.0 0.011232452 8.2485562
11.0 8.567512 2.0 25.0 0.068351535 7.9704548
12.0 8.3460443 3.0 23.0 0.041274112 7.8649671
13.0 8.1401166 2.0 25.0 0.07499917 8.5736242
14.0 7.9446983 2.0 25.0 0.034940406 9.1587301
