#centrality dS/dy Npart_min Npart_max b_min(fm) b_max(fm)
0.0 1000000.0 500.0 500.0 0.0 0.0
0.001 7.2837528 2.0 2.0 0.44959727 2.0953896
0.002 6.7232752 2.0 2.0 0.40725239 2.246771
0.003 6.5150476 2.0 2.0 0.61979428 1.7997541
0.004 6.2857743 2.0 2.0 0.20386597 1.9909358
0.005 6.0939309 2.0 2.0 0.3683816 2.0854763
0.006 5.9500311 2.0 2.0 0.46559762 2.6756992
0.007 5.8883431 2.0 2.0 0.10728033 2.4757461
0.008 5.7927209 2.0 2.0 0.66462519 1.6253958
0.009 5.7320647 2.0 2.0 0.18981839 1.8986341
0.01 5.6831712 2.0 2.0 0.33274977 1.9858581
0.02 5.1220535 2.0 2.0 0.1205337 2.2814356
0.03 4.8475031 2.0 2.0 0.16686278 2.2226705
0.04 4.6372418 2.0 2.0 0.15547058 3.022779
0.05 4.5053957 2.0 2.0 0.19557237 2.155463
0.06 4.4093881 2.0 2.0 0.20762294 2.5096403
0.07 4.3156452 2.0 2.0 0.15779232 3.0462221
0.08 4.2371732 2.0 2.0 0.06793287 2.59239
0.09 4.1669616 2.0 2.0 0.1270613 2.9218042
0.1 4.1040135 2.0 2.0 0.19902223 2.5425732
0.2 3.7004077 2.0 2.0 0.0058152698 3.0881178
0.3 3.4716346 2.0 2.0 0.033701196 3.2328874
0.4 3.3165309 2.0 2.0 0.054284906 2.9801084
0.5 3.1951032 2.0 2.0 0.033001266 2.9250372
0.6 3.10299 2.0 2.0 0.067300962 3.4681198
0.7 3.0178698 2.0 2.0 0.016346472 3.3659486
0.8 2.9506562 2.0 2.0 0.003592561 3.0281475
0.9 2.8915699 2.0 2.0 0.028620479 3.0610384
1.0 2.8361295 2.0 2.0 0.028069062 3.000489
2.0 2.4857237 2.0 2.0 0.018044253 3.7390386
3.0 2.2904765 2.0 2.0 0.0066981896 3.3669616
4.0 2.1541549 2.0 2.0 0.01795656 3.8933922
5.0 2.0496506 2.0 2.0 0.0047517463 3.5494627
6.0 1.9647308 2.0 2.0 0.011896729 3.9698613
7.0 1.8916922 2.0 2.0 0.0322435 3.6449862
8.0 1.8294007 2.0 2.0 0.013534201 3.5402866
9.0 1.7743209 2.0 2.0 0.0042831068 3.6935743
10.0 1.7239498 2.0 2.0 0.020734813 3.5623503
11.0 1.6788773 2.0 2.0 0.029767369 3.5242902
12.0 1.6370229 2.0 2.0 0.022561881 3.7160308
13.0 1.5985619 2.0 2.0 0.016542368 3.9600403
14.0 1.5633962 2.0 2.0 0.0066494091 3.6607051
15.0 1.5305019 2.0 2.0 0.025127332 3.8805899
16.0 1.4994994 2.0 2.0 0.021300415 3.9471975
17.0 1.4701742 2.0 2.0 0.021409488 3.4188955
18.0 1.4426809 2.0 2.0 0.010369548 3.491448
19.0 1.4158708 2.0 2.0 0.0090397873 3.7226645
20.0 1.3906847 2.0 2.0 0.0043166068 3.2640336
21.0 1.3661363 2.0 2.0 0.012485201 3.5508425
22.0 1.3424779 2.0 2.0 0.0054444866 3.6082826
23.0 1.3200676 2.0 2.0 0.024131018 3.5670409
24.0 1.2985964 2.0 2.0 0.014215244 3.7531913
25.0 1.2775223 2.0 2.0 0.0020249664 3.4439843
26.0 1.257147 2.0 2.0 0.013209965 4.7864176
27.0 1.2375463 2.0 2.0 0.014290763 3.5086447
28.0 1.2180941 2.0 2.0 0.0098143996 3.8125376
29.0 1.1996317 2.0 2.0 0.029351185 3.7383727
30.0 1.1813667 2.0 2.0 0.0051241432 3.6263949
31.0 1.1641248 2.0 2.0 0.012874877 3.7700832
32.0 1.146975 2.0 2.0 0.0021486869 3.779038
33.0 1.1303153 2.0 2.0 0.0019758886 3.427992
34.0 1.1142372 2.0 2.0 0.031765359 3.4109769
35.0 1.0985057 2.0 2.0 0.0053429516 3.6335729
36.0 1.0829588 2.0 2.0 0.011351921 3.2058116
37.0 1.0675171 2.0 2.0 0.015959232 3.4346768
38.0 1.0523409 2.0 2.0 0.015097153 3.7154085
39.0 1.037259 2.0 2.0 0.027207978 3.7380705
40.0 1.0230167 2.0 2.0 0.013694145 3.6120906
41.0 1.0088846 2.0 2.0 0.0023324023 3.9481636
42.0 0.99485773 2.0 2.0 0.018111868 3.7508787
43.0 0.98107516 2.0 2.0 0.0084294689 3.7291234
44.0 0.96743541 2.0 2.0 0.022015652 3.3295438
45.0 0.95418759 2.0 2.0 0.023615657 3.6459305
46.0 0.94099041 2.0 2.0 0.016342016 3.3937704
47.0 0.92827828 2.0 2.0 0.0068707334 3.3637329
48.0 0.91548886 2.0 2.0 0.0088472601 3.487799
