#centrality dS/dy Npart_min Npart_max b_min(fm) b_max(fm)
0.0 1000000.0 500.0 500.0 0.0 0.0
0.001 7.3799789 2.0 2.0 0.2223245 1.3497137
0.002 6.9030155 2.0 2.0 0.29994635 1.8391165
0.003 6.5664176 2.0 2.0 0.77976653 2.1668957
0.004 6.3607662 2.0 2.0 0.060331626 2.4189138
0.005 6.2186778 2.0 2.0 0.59145017 1.7951975
0.006 6.0942633 2.0 2.0 0.32198057 1.712225
0.007 6.024697 2.0 2.0 0.59424007 2.1227653
0.008 5.9722836 2.0 2.0 0.41626771 1.9526115
0.009 5.8448658 2.0 2.0 0.27037593 1.3612572
0.01 5.7841659 2.0 2.0 0.24434175 2.5729526
0.02 5.2065162 2.0 2.0 0.051815275 2.9954934
0.03 4.905338 2.0 2.0 0.21254426 2.6944175
0.04 4.7425 2.0 2.0 0.048800455 2.2732275
0.05 4.5958338 2.0 2.0 0.078226254 2.5338515
0.06 4.4827579 2.0 2.0 0.17224375 2.6617706
0.07 4.380104 2.0 2.0 0.13451675 2.6427081
0.08 4.2657011 2.0 2.0 0.004401847 3.4984415
0.09 4.1855083 2.0 2.0 0.080385436 2.4072887
0.1 4.1237392 2.0 2.0 0.097771567 2.4635641
0.2 3.718274 2.0 2.0 0.029541446 2.8392209
0.3 3.4812594 2.0 2.0 0.036889594 3.243438
0.4 3.3235863 2.0 2.0 0.053518536 2.8528937
0.5 3.2077061 2.0 2.0 0.071681327 3.0296448
0.6 3.1094176 2.0 2.0 0.04029334 2.8874963
0.7 3.0295734 2.0 2.0 0.057183315 2.8187977
0.8 2.9576939 2.0 2.0 0.025465647 3.003214
0.9 2.896879 2.0 2.0 0.033152782 3.1573971
1.0 2.8451409 2.0 2.0 0.06220684 2.9906124
2.0 2.4946971 2.0 2.0 0.010380249 3.7868758
3.0 2.3012592 2.0 2.0 0.033000863 3.4158283
4.0 2.163333 2.0 2.0 0.027122556 3.8218394
5.0 2.0563218 2.0 2.0 0.0051606417 4.0580708
6.0 1.9701562 2.0 2.0 0.014033526 3.4291597
7.0 1.897003 2.0 2.0 0.024330668 3.8417674
8.0 1.8347955 2.0 2.0 0.015987516 3.4274948
9.0 1.7793213 2.0 2.0 0.0079671961 3.2805522
10.0 1.7294412 2.0 2.0 0.018945169 3.5143093
11.0 1.6834638 2.0 2.0 0.007609705 3.4213437
12.0 1.641773 2.0 2.0 0.015595294 3.8968976
13.0 1.6032731 2.0 2.0 0.0068935024 3.3569255
14.0 1.5673285 2.0 2.0 0.007936014 3.23209
15.0 1.5330965 2.0 2.0 0.017675431 3.4436676
16.0 1.5014909 2.0 2.0 0.014539544 3.5272218
