#centrality dS/dy Npart_min Npart_max b_min(fm) b_max(fm)
78.0 0.56199686 2.0 2.0 0.010196727 2.7763622
79.0 0.54980768 2.0 2.0 0.013948463 3.16693
80.0 0.53743367 2.0 2.0 0.011413352 2.8345163
81.0 0.5249089 2.0 2.0 0.0052124141 2.6195748
82.0 0.5121835 2.0 2.0 0.0018830803 2.9184726
83.0 0.49950572 2.0 2.0 0.02135662 2.8291041
84.0 0.48622297 2.0 2.0 0.0023490738 2.9095874
85.0 0.47286779 2.0 2.0 0.012123937 3.0091382
86.0 0.45903452 2.0 2.0 0.004315161 3.040107
87.0 0.44490055 2.0 2.0 0.0045526278 3.5899505
88.0 0.43048055 2.0 2.0 0.017753939 2.9412478
89.0 0.41524973 2.0 2.0 0.012235982 2.9709714
90.0 0.39944459 2.0 2.0 0.0033992958 2.8829595
91.0 0.38315126 2.0 2.0 0.0064376433 3.2064241
92.0 0.36604086 2.0 2.0 0.0057810088 2.8325917
93.0 0.34784593 2.0 2.0 0.011261593 2.8044853
94.0 0.32846742 2.0 2.0 0.0074015145 2.9212068
95.0 0.30734008 2.0 2.0 0.010241775 2.6735038
96.0 0.28368758 2.0 2.0 0.0076925949 2.9323243
97.0 0.25657177 2.0 2.0 0.011825838 3.0440945
98.0 0.22330329 2.0 2.0 0.0059592326 3.3351794
99.0 0.17788719 2.0 2.0 0.013524014 2.8886588
100.0 0.010928379 2.0 2.0 0.018734527 2.9884153
