#centrality dS/dy Npart_min Npart_max b_min(fm) b_max(fm)
72.0 1.9060163 2.0 11.0 0.83588323 10.561903
73.0 1.8396278 2.0 10.0 0.4178374 11.111338
74.0 1.7741003 2.0 10.0 0.65695228 10.51342
75.0 1.7108263 2.0 10.0 0.37144391 11.165307
76.0 1.6492967 2.0 9.0 0.94985673 10.853747
77.0 1.5877436 2.0 10.0 0.8103736 10.89244
78.0 1.5282321 2.0 9.0 1.6830609 10.621549
79.0 1.4689903 2.0 8.0 1.6438104 11.218837
80.0 1.4120374 2.0 8.0 1.6576475 10.700563
81.0 1.3561715 2.0 9.0 1.0475056 11.022051
82.0 1.3020121 2.0 8.0 1.5846078 10.811658
83.0 1.2478275 2.0 8.0 0.039460982 11.126253
84.0 1.1952068 2.0 7.0 2.2043423 10.943252
85.0 1.14229 2.0 8.0 2.5463136 11.368903
86.0 1.09157 2.0 8.0 1.1028879 11.274599
87.0 1.0408253 2.0 7.0 0.81981314 11.52091
88.0 0.99090401 2.0 7.0 2.6622818 11.57647
89.0 0.9405856 2.0 7.0 2.6955207 11.298314
90.0 0.88966535 2.0 7.0 3.0881473 11.378891
91.0 0.83899875 2.0 7.0 3.192061 11.10433
92.0 0.78751302 2.0 7.0 4.5982035 11.439617
93.0 0.73519538 2.0 6.0 2.8273841 11.303788
94.0 0.68028439 2.0 6.0 2.8519672 11.68555
95.0 0.62347408 2.0 6.0 1.7622412 11.178832
96.0 0.56439282 2.0 5.0 3.8796091 11.16308
97.0 0.5002256 2.0 6.0 3.8997534 11.240705
98.0 0.4234211 2.0 5.0 2.6587282 11.248657
99.0 0.3274476 2.0 5.0 4.1474971 10.992634
100.0 0.019697958 2.0 5.0 4.1112362 11.489657
